,tconst,primaryTitle,startYear,genres,averageRating,budget,ww_gross,budget1mil,ww_gross1mil,ROI,genre_list,Mystery,Comedy,Thriller,Sci-Fi,Adventure,Animation,genre_count,top_genre_list
45,tt0479997,Season of the Witch,2011,"Action,Adventure,Fantasy",5.4,40000000.0,91627228.0,40.0,91.63,129.06807,"['Action', 'Adventure', 'Fantasy']",False,False,False,False,True,False,3,Adventure
46,tt0480239,Atlas Shrugged: Part I,2011,"Drama,Mystery,Sci-Fi",5.6,20000000.0,4627375.0,20.0,4.63,-76.863125,"['Drama', 'Mystery', 'Sci-Fi']",True,False,False,True,False,False,3,Mystery
46,tt0480239,Atlas Shrugged: Part I,2011,"Drama,Mystery,Sci-Fi",5.6,20000000.0,4627375.0,20.0,4.63,-76.863125,"['Drama', 'Mystery', 'Sci-Fi']",True,False,False,True,False,False,3,Sci-Fi
47,tt0480255,The Losers,2010,"Action,Adventure,Crime",6.3,25000000.0,29397654.0,25.0,29.4,17.590616,"['Action', 'Adventure', 'Crime']",False,False,False,False,True,False,3,Adventure
48,tt0480687,Hall Pass,2011,"Comedy,Romance",5.8,36000000.0,86157237.0,36.0,86.16,139.32565833333334,"['Comedy', 'Romance']",False,True,False,False,False,False,2,Comedy
49,tt0481499,The Croods,2013,"Action,Adventure,Animation",7.2,135000000.0,587204668.0,135.0,587.2,334.9664207407408,"['Action', 'Adventure', 'Animation']",False,False,False,False,True,True,3,Adventure
49,tt0481499,The Croods,2013,"Action,Adventure,Animation",7.2,135000000.0,587204668.0,135.0,587.2,334.9664207407408,"['Action', 'Adventure', 'Animation']",False,False,False,False,True,True,3,Animation
52,tt0491152,Something Borrowed,2011,"Comedy,Drama,Romance",5.9,35000000.0,65100369.0,35.0,65.1,86.00105428571429,"['Comedy', 'Drama', 'Romance']",False,True,False,False,False,False,3,Comedy
53,tt0491175,Suburbicon,2017,"Comedy,Crime,Drama",5.7,25000000.0,12751667.0,25.0,12.75,-48.993332,"['Comedy', 'Crime', 'Drama']",False,True,False,False,False,False,3,Comedy
55,tt0492389,Furry Vengeance,2010,"Comedy,Family",3.8,35000000.0,36351945.0,35.0,36.35,3.8627000000000002,"['Comedy', 'Family']",False,True,False,False,False,False,2,Comedy
56,tt0493405,Chips,2017,"Action,Comedy,Crime",6.0,25000000.0,26800152.0,25.0,26.8,7.200608,"['Action', 'Comedy', 'Crime']",False,True,False,False,False,False,3,Comedy
57,tt0493949,Ramona and Beezus,2010,"Comedy,Drama,Family",6.5,15000000.0,27293743.0,15.0,27.29,81.95828666666667,"['Comedy', 'Drama', 'Family']",False,True,False,False,False,False,3,Comedy
58,tt0498381,Rings,2017,"Drama,Horror,Mystery",4.5,25000000.0,83080890.0,25.0,83.08,232.32356,"['Drama', 'Horror', 'Mystery']",True,False,False,False,False,False,3,Horror
58,tt0498381,Rings,2017,"Drama,Horror,Mystery",4.5,25000000.0,83080890.0,25.0,83.08,232.32356,"['Drama', 'Horror', 'Mystery']",True,False,False,False,False,False,3,Mystery
59,tt0758752,Love & Other Drugs,2010,"Comedy,Drama,Romance",6.7,30000000.0,102820008.0,30.0,102.82,242.73335999999998,"['Comedy', 'Drama', 'Romance']",False,True,False,False,False,False,3,Comedy
60,tt0763831,A Thousand Words,2012,"Comedy,Drama",5.9,40000000.0,24397992.0,40.0,24.4,-39.00502,"['Comedy', 'Drama']",False,True,False,False,False,False,2,Comedy
61,tt0765446,Escape from Planet Earth,2013,"Adventure,Animation,Comedy",5.9,40000000.0,74939189.0,40.0,74.94,87.3479725,"['Adventure', 'Animation', 'Comedy']",False,True,False,False,True,True,3,Adventure
61,tt0765446,Escape from Planet Earth,2013,"Adventure,Animation,Comedy",5.9,40000000.0,74939189.0,40.0,74.94,87.3479725,"['Adventure', 'Animation', 'Comedy']",False,True,False,False,True,True,3,Animation
