,tconst,primaryTitle,startYear,genres,averageRating,budget,ww_gross,budget1mil,ww_gross1mil,numeratorROI,ROI,genre_list,History,Mystery,Western,Fantasy,Drama,Horror,Documentary,Comedy,Thriller,Music,Sport,Biography,Romance,Sci-Fi,Crime,Family,Adventure,Action,Musical,Animation,War,genre_count
715,tt1596345,Pawn Sacrifice,2014,"Biography,Drama,Sport",7.0,19000000.0,5578519.0,19.0,5.58,-13421481.0,-70.63937368421053,Biography,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,3
715,tt1596345,Pawn Sacrifice,2014,"Biography,Drama,Sport",7.0,19000000.0,5578519.0,19.0,5.58,-13421481.0,-70.63937368421053,Drama,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,3
715,tt1596345,Pawn Sacrifice,2014,"Biography,Drama,Sport",7.0,19000000.0,5578519.0,19.0,5.58,-13421481.0,-70.63937368421053,Sport,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,3
716,tt1596346,Soul Surfer,2011,"Biography,Drama,Family",7.0,18000000.0,47120948.0,18.0,47.12,29120948.0,161.78304444444444,Biography,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,3
716,tt1596346,Soul Surfer,2011,"Biography,Drama,Family",7.0,18000000.0,47120948.0,18.0,47.12,29120948.0,161.78304444444444,Drama,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,3
716,tt1596346,Soul Surfer,2011,"Biography,Drama,Family",7.0,18000000.0,47120948.0,18.0,47.12,29120948.0,161.78304444444444,Family,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,3
717,tt1596350,This Means War,2012,"Action,Comedy,Romance",6.3,65000000.0,156491279.0,65.0,156.49,91491279.0,140.75581384615384,Action,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,3
717,tt1596350,This Means War,2012,"Action,Comedy,Romance",6.3,65000000.0,156491279.0,65.0,156.49,91491279.0,140.75581384615384,Comedy,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,3
717,tt1596350,This Means War,2012,"Action,Comedy,Romance",6.3,65000000.0,156491279.0,65.0,156.49,91491279.0,140.75581384615384,Romance,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,3
718,tt1596363,The Big Short,2015,"Biography,Comedy,Drama",7.8,28000000.0,133440870.0,28.0,133.44,105440870.0,376.5745357142857,Biography,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,3
718,tt1596363,The Big Short,2015,"Biography,Comedy,Drama",7.8,28000000.0,133440870.0,28.0,133.44,105440870.0,376.5745357142857,Comedy,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,3
718,tt1596363,The Big Short,2015,"Biography,Comedy,Drama",7.8,28000000.0,133440870.0,28.0,133.44,105440870.0,376.5745357142857,Drama,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,3
719,tt1596365,The Woman in Black,2012,"Drama,Fantasy,Horror",6.4,17000000.0,128955898.0,17.0,128.96,111955898.0,658.5641058823529,Drama,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3
719,tt1596365,The Woman in Black,2012,"Drama,Fantasy,Horror",6.4,17000000.0,128955898.0,17.0,128.96,111955898.0,658.5641058823529,Fantasy,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3
719,tt1596365,The Woman in Black,2012,"Drama,Fantasy,Horror",6.4,17000000.0,128955898.0,17.0,128.96,111955898.0,658.5641058823529,Horror,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3
720,tt1597522,Ast̩rix and Ob̩lix: God Save Britannia,2012,"Adventure,Comedy,Family",5.3,71980000.0,61319383.0,71.98,61.32,-10660617.0,-14.810526535148652,Adventure,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,3
